Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-22 00:00:00-04:00,220.95779015994103,227.3196602642825,220.83304272830307,226.44647216796875,30127000,0.0,0.0
2021-03-23 00:00:00-04:00,227.8858263731183,231.30185638179913,227.48281307743645,227.97218322753903,31638400,0.0,0.0
2021-03-24 00:00:00-04:00,228.23124345357456,228.3751715285235,225.80355897799103,225.9378967285156,25620100,0.0,0.0
2021-03-25 00:00:00-04:00,225.78436397622824,227.358041045122,222.20521097132493,222.94406127929688,34061900,0.0,0.0
2021-03-26 00:00:00-04:00,222.18598973898824,227.13731992949707,222.18598973898824,226.91661071777344,25479900,0.0,0.0
2021-03-29 00:00:00-04:00,227.02217262899796,227.2236865610609,222.50265570204917,225.72677612304688,25227500,0.0,0.0
2021-03-30 00:00:00-04:00,224.08594526185743,224.3930113523517,221.75422253425,222.4738922119141,24792000,0.0,0.0
2021-03-31 00:00:00-04:00,223.49101075651637,229.43068651308948,222.9920357076876,226.2353515625,43623500,0.0,0.0
2021-04-01 00:00:00-04:00,228.8261747651646,233.0194454545164,228.42316149759984,232.5492706298828,30338000,0.0,0.0
2021-04-05 00:00:00-04:00,232.94267953817064,239.8515202621976,232.88510830575663,238.9975128173828,36910600,0.0,0.0
2021-04-06 00:00:00-04:00,237.59658162885503,239.3141870764356,236.89610713655097,237.8364715576172,22931900,0.0,0.0
2021-04-07 00:00:00-04:00,237.78846920288845,240.78229055854655,237.1935469185507,239.7939453125,22719800,0.0,0.0
2021-04-08 00:00:00-04:00,242.5478993496156,243.8624913984209,241.80903431175963,243.00848388671875,23625200,0.0,0.0
2021-04-09 00:00:00-04:00,242.64384338315648,245.63767943978883,242.23123976274744,245.5033416748047,24326800,0.0,0.0
2021-04-12 00:00:00-04:00,244.4094444364362,247.24974743747651,244.3230729403919,245.5609130859375,27148700,0.0,0.0
2021-04-13 00:00:00-04:00,246.8563204519019,248.70826351478416,246.44368755447493,248.03656005859375,23837500,0.0,0.0
2021-04-14 00:00:00-04:00,247.06742699301665,248.36280908207007,244.84124159709435,245.25384521484375,23070900,0.0,0.0
2021-04-15 00:00:00-04:00,247.4991912440341,249.41831037148776,247.30729690134913,249.00570678710935,25627500,0.0,0.0
2021-04-16 00:00:00-04:00,248.97691132612795,250.4450362292379,247.1825396982639,250.1955413818359,24878600,0.0,0.0
2021-04-19 00:00:00-04:00,249.66781662573695,250.9056567188117,247.3936650412421,248.2764434814453,23209300,0.0,0.0
2021-04-20 00:00:00-04:00,247.3936636248124,249.67742016300645,246.45328467278097,247.8158721923828,19722900,0.0,0.0
2021-04-21 00:00:00-04:00,248.4683602197952,250.1379845198546,246.84670218540677,250.04202270507812,24030400,0.0,0.0
2021-04-22 00:00:00-04:00,249.6869986347857,251.19351425483055,245.30181881820317,246.76995849609375,25606200,0.0,0.0
2021-04-23 00:00:00-04:00,247.4512097025957,250.9344153892346,246.8658631774736,250.5889587402344,21462600,0.0,0.0
2021-04-26 00:00:00-04:00,251.07839088950067,251.82684627305457,249.64865632842103,250.9728240966797,19763300,0.0,0.0
2021-04-27 00:00:00-04:00,251.0016426271993,252.54654915122535,249.6006935016627,251.3758850097656,31014200,0.0,0.0
2021-04-28 00:00:00-04:00,245.72400771033827,246.1654262072266,242.72059614037644,244.26548767089844,46903100,0.0,0.0
2021-04-29 00:00:00-04:00,245.12912898431568,245.74324661060515,238.9303668400057,242.2984161376953,40589000,0.0,0.0
2021-04-30 00:00:00-04:00,239.64042208199547,242.84534766283653,239.50608432237092,241.9817352294922,30945100,0.0,0.0
2021-05-03 00:00:00-04:00,243.15238261393085,244.06397589418296,240.96458802475905,241.67466735839844,19626600,0.0,0.0
2021-05-04 00:00:00-04:00,240.8206636019488,241.05096316703924,235.8213518591053,237.76925659179688,32756100,0.0,0.0
2021-05-05 00:00:00-04:00,238.98789545222695,239.4101039903154,235.87893192942408,236.5026397705078,21901300,0.0,0.0
2021-05-06 00:00:00-04:00,236.4834894146132,239.7555915648177,234.79466958308151,239.63084411621097,26491100,0.0,0.0
2021-05-07 00:00:00-04:00,241.9529667059604,244.01602879660211,241.01260232215404,242.2504425048828,27032900,0.0,0.0
2021-05-10 00:00:00-04:00,240.72469114199723,241.5499129115919,237.12634295627333,237.1839141845703,29299900,0.0,0.0
2021-05-11 00:00:00-04:00,234.66031619488905,236.62741641293383,232.76039218061487,236.2723693847656,33641600,0.0,0.0
2021-05-12 00:00:00-04:00,232.37658045045393,234.4972139179519,228.44239430196552,229.33477783203125,36684400,0.0,0.0
2021-05-13 00:00:00-04:00,232.02149758522427,235.66782673232748,231.65686027799904,233.2017517089844,29624300,0.0,0.0
2021-05-14 00:00:00-04:00,235.64865494854968,239.10306082061464,235.5622980961346,238.11471557617188,23901100,0.0,0.0
2021-05-17 00:00:00-04:00,236.57940755176028,236.61778349101087,233.67194331645007,235.26480102539065,24970200,0.0,0.0
2021-05-18 00:00:00-04:00,236.31072249373375,236.44506023825215,233.07699701786404,233.24972534179688,20168000,0.0,0.0
2021-05-19 00:00:00-04:00,230.16243607762956,233.93259335141164,229.47958385849037,233.82679748535156,25739800,0.56,0.0
2021-05-20 00:00:00-04:00,234.63470174976987,238.472175691657,234.53851835238595,237.0583648681641,21800700,0.0,0.0
2021-05-21 00:00:00-04:00,238.1067469784597,238.83769101202844,235.38492078788627,235.79847717285156,21863100,0.0,0.0
2021-05-24 00:00:00-04:00,238.31830198996036,241.55949482361876,238.04900607225056,241.1940155029297,21411500,0.0,0.0
2021-05-25 00:00:00-04:00,242.1462057205954,243.08874153907664,241.2325219911625,242.09811401367188,17704300,0.0,0.0
2021-05-26 00:00:00-04:00,241.819173240438,243.2714634355035,241.16517303578055,241.87689208984375,17771600,0.0,0.0
2021-05-27 00:00:00-04:00,241.56911515709095,241.86726317029425,239.72250822888856,239.78021240234375,24426200,0.0,0.0
2021-05-28 00:00:00-04:00,241.4056131297948,242.444332270062,240.0206542761053,240.1360626220703,18270200,0.0,0.0
2021-06-01 00:00:00-04:00,241.62680800038572,241.68451217113508,237.5200379764385,237.94320678710935,23213300,0.0,0.0
2021-06-02 00:00:00-04:00,238.64532119633685,239.7417445032834,236.4428474366505,237.8470458984375,19406700,0.0,0.0
2021-06-03 00:00:00-04:00,235.84656534581532,236.92374910031265,233.71142277848813,236.31784057617188,25307700,0.0,0.0
2021-06-04 00:00:00-04:00,238.28945046434345,242.0307559108141,238.04900663185688,241.20362854003903,25281100,0.0,0.0
2021-06-07 00:00:00-04:00,240.42458368050268,244.377480722502,240.2610836417249,244.10818481445312,23079200,0.0,0.0
2021-06-08 00:00:00-04:00,245.4065519898189,246.22406674150503,242.8578390246071,242.91555786132812,22455000,0.0,0.0
2021-06-09 00:00:00-04:00,244.10821346748003,245.76246833996905,243.53115702915264,243.89662170410156,17937600,0.0,0.0
2021-06-10 00:00:00-04:00,244.5698698827459,247.6186962627723,243.97357380684068,247.4071044921875,24563600,0.0,0.0
2021-06-11 00:00:00-04:00,248.12838060404275,248.60926821595868,246.8011260989867,248.0322265625,18999700,0.0,0.0
2021-06-14 00:00:00-04:00,248.04182735203915,250.01348419533977,246.98386872283527,249.95578002929688,19150500,0.0,0.0
2021-06-15 00:00:00-04:00,249.8402982593417,250.05188994784496,247.8301918940831,248.48419189453125,18038900,0.0,0.0
2021-06-16 00:00:00-04:00,249.4845083385212,250.61939615458576,244.6948714270075,247.5417327880859,27220000,0.0,0.0
2021-06-17 00:00:00-04:00,246.2818229934253,251.74469998319137,246.2241188200235,250.92718505859375,27565500,0.0,0.0
2021-06-18 00:00:00-04:00,249.70570296444276,252.2736263436552,248.85933608179369,249.51333618164065,37202200,0.0,0.0
2021-06-21 00:00:00-04:00,249.88850826319072,253.44705987166952,248.06114075061433,252.59109497070312,26696100,0.0,0.0
2021-06-22 00:00:00-04:00,252.67763088322695,255.63028836599736,252.36985571508916,255.36099243164065,24694100,0.0,0.0
2021-06-23 00:00:00-04:00,255.82262165338332,256.63050944325494,254.32225442204245,255.1301422119141,19518700,0.0,0.0
2021-06-24 00:00:00-04:00,255.98617080317328,257.6115737475346,255.32254335956736,256.49591064453125,21446900,0.0,0.0
2021-06-25 00:00:00-04:00,256.0534328701666,257.0344330491958,254.6396220924489,254.88966369628903,25611100,0.0,0.0
2021-06-28 00:00:00-04:00,256.01492178801493,258.62132414743763,255.7456259281969,258.4482116699219,19590000,0.0,0.0
2021-06-29 00:00:00-04:00,258.5925577009788,261.2662922485271,257.7365928224437,261.0258483886719,19937800,0.0,0.0
2021-06-30 00:00:00-04:00,260.34298777501124,260.98736086236244,259.29465610147,260.5449523925781,21656500,0.0,0.0
2021-07-01 00:00:00-04:00,259.3042174129385,261.44898683933064,259.2946196189184,261.2181701660156,16725300,0.0,0.0
2021-07-02 00:00:00-04:00,262.3915341487316,267.3735229640247,262.0837590204918,267.0368957519531,26458000,0.0,0.0
2021-07-06 00:00:00-04:00,267.4024220376937,268.69119759373734,263.81498911192836,267.04656982421875,31565600,0.0,0.0
2021-07-07 00:00:00-04:00,268.7200270839339,269.960725504487,266.5560325451121,269.2297668457031,23260000,0.0,0.0
2021-07-08 00:00:00-04:00,266.31559288844903,268.0756582442465,264.36319007014714,266.81573486328125,24618600,0.0,0.0
2021-07-09 00:00:00-04:00,265.18068409845046,267.4216076093967,264.79597985271084,267.3158264160156,23916700,0.0,0.0
2021-07-12 00:00:00-04:00,268.48920655469243,269.0758754216596,266.0078097490521,266.71954345703125,18931700,0.0,0.0
2021-07-13 00:00:00-04:00,266.9117700546269,272.0380469074323,266.7867639676429,270.2395324707031,26120100,0.0,0.0
2021-07-14 00:00:00-04:00,271.557263551942,272.8171868548692,269.82605039030216,271.7111511230469,23113700,0.0,0.0
2021-07-15 00:00:00-04:00,271.22064297039645,271.7111577808716,269.1335775905223,270.2877197265625,22604200,0.0,0.0
2021-07-16 00:00:00-04:00,271.28792181591155,273.2403241834957,268.7776734284187,270.01837158203125,26186800,0.0,0.0
2021-07-19 00:00:00-04:00,268.2680095974711,269.6529685438566,263.9592745207665,266.4214172363281,32935600,0.0,0.0
2021-07-20 00:00:00-04:00,267.4024288847443,270.2300510737556,265.7000968938325,268.64312744140625,26259700,0.0,0.0
2021-07-21 00:00:00-04:00,268.23914676268924,270.75899355414396,266.69070249429734,270.6435852050781,24364300,0.0,0.0
2021-07-22 00:00:00-04:00,272.99029182453523,275.4716884823561,272.58636264371466,275.202392578125,23384100,0.0,0.0
2021-07-23 00:00:00-04:00,276.38534199654606,278.9051883924715,275.5486022461029,278.5974426269531,22768100,0.0,0.0
2021-07-26 00:00:00-04:00,277.9530521274675,278.6166794096968,275.68327658614254,278.0011291503906,23176100,0.0,0.0
2021-07-27 00:00:00-04:00,278.36658164145285,278.51084204738186,272.1342972969276,275.5870666503906,33604100,0.0,0.0
2021-07-28 00:00:00-04:00,277.943434405772,279.0590972753007,272.98067033830415,275.2793273925781,33566900,0.0,0.0
2021-07-29 00:00:00-04:00,275.29857402961915,277.5876041189694,275.1446864474467,275.54864501953125,18168300,0.0,0.0
2021-07-30 00:00:00-04:00,274.26948015452774,275.70251598499704,273.05763386236777,274.0194091796875,20944800,0.0,0.0
2021-08-02 00:00:00-04:00,275.41400491206474,275.8083363703218,272.8941579188168,273.9328918457031,16267400,0.0,0.0
2021-08-03 00:00:00-04:00,274.50992752859145,276.2507385273349,273.1441936458983,276.1449279785156,17879000,0.0,0.0
2021-08-04 00:00:00-04:00,275.27933499379344,276.59696249430243,273.76934068765456,275.5582580566406,16191300,0.0,0.0
2021-08-05 00:00:00-04:00,275.9140539199942,278.5589355268177,275.16387049282804,278.453125,13900200,0.0,0.0
2021-08-06 00:00:00-04:00,277.48180834700514,278.4339565262084,276.62581421943787,278.3954772949219,16589300,0.0,0.0
2021-08-09 00:00:00-04:00,278.6744499389659,280.4056340911744,276.8086031288222,277.3087158203125,16117600,0.0,0.0
2021-08-10 00:00:00-04:00,277.7606812698353,278.1934918740184,274.29831384057627,275.49090576171875,18616600,0.0,0.0
2021-08-11 00:00:00-04:00,276.23151748719226,277.62610362360755,274.9331147655397,275.9814758300781,13955900,0.0,0.0
2021-08-12 00:00:00-04:00,275.67367807710286,278.8860042800306,275.3947550024405,278.73211669921875,14561300,0.0,0.0
2021-08-13 00:00:00-04:00,278.41476627205253,281.7040218560263,278.24162438521927,281.65594482421875,18249000,0.0,0.0
2021-08-16 00:00:00-04:00,281.98294340140507,283.55064206366075,278.9341023443054,283.33905029296875,22507600,0.0,0.0
2021-08-17 00:00:00-04:00,281.21347728086533,282.21370240044297,279.953524710054,281.8770751953125,20075300,0.0,0.0
